,number,aver_price,lat,long,demand,region,geometry
150,150,1623606.0,35.5268098359153,129.330291601393,7,대현동,POINT (129.330291601393 35.5268098359153)
151,151,1685823.754789272,35.5293333717272,129.332005397821,13,대현동,POINT (129.332005397821 35.5293333717272)
152,152,1701460.118257512,35.5250044385993,129.333154803456,21,야음장생포동,POINT (129.333154803456 35.5250044385993)
153,153,1705832.0,35.5279021651082,129.330250435536,5,대현동,POINT (129.330250435536 35.5279021651082)
154,154,1749482.401656315,35.5295139473116,129.332924926211,16,대현동,POINT (129.332924926211 35.5295139473116)
155,155,1814272.275231824,35.5270532506466,129.322391350397,24,대현동,POINT (129.322391350397 35.5270532506466)
156,156,1840575.698865209,35.5232580526276,129.329635021612,11,대현동,POINT (129.329635021612 35.5232580526276)
157,157,1849125.0,35.5307894605924,129.33119046248,13,대현동,POINT (129.33119046248 35.5307894605924)
158,158,1849125.0,35.5310750212162,129.330120267543,21,대현동,POINT (129.330120267543 35.5310750212162)
159,159,1890580.0,35.5309091078907,129.330596967884,24,대현동,POINT (129.330596967884 35.5309091078907)
160,160,1890580.0,35.5314851498658,129.330374661692,5,대현동,POINT (129.330374661692 35.5314851498658)
161,161,1922054.0,35.5305575524005,129.330171774221,8,대현동,POINT (129.330171774221 35.5305575524005)
162,162,1926207.270754205,35.5232526394107,129.32977387797,13,대현동,POINT (129.32977387797 35.5232526394107)
163,163,1938819.474364498,35.5259007343608,129.329695449066,7,대현동,POINT (129.329695449066 35.5259007343608)
164,164,1956650.0,35.5302667104379,129.328800032974,8,대현동,POINT (129.328800032974 35.5302667104379)
165,165,1956650.0,35.5298763235211,129.328955106875,10,대현동,POINT (129.328955106875 35.5298763235211)
166,166,437006.0437006044,35.5198764868564,129.339483675392,16,야음장생포동,POINT (129.339483675392 35.5198764868564)
167,167,469534.0501792115,35.5221599664243,129.333988329705,12,야음장생포동,POINT (129.333988329705 35.5221599664243)
168,168,543285.4083817682,35.5233002480946,129.333311327792,13,야음장생포동,POINT (129.333311327792 35.5233002480946)
169,169,555405.0392847465,35.5217915534488,129.332372244257,9,야음장생포동,POINT (129.332372244257 35.5217915534488)
170,170,610343.0619559651,35.5224580765796,129.333624905586,12,야음장생포동,POINT (129.333624905586 35.5224580765796)
171,171,611995.1040391676,35.522916316054,129.333357551453,18,야음장생포동,POINT (129.333357551453 35.522916316054)
172,172,615384.6153846154,35.5220913503683,129.333546337367,12,야음장생포동,POINT (129.333546337367 35.5220913503683)
173,173,628033.9805825242,35.5264661850063,129.334140076334,7,야음장생포동,POINT (129.334140076334 35.5264661850063)
174,174,628081.6202685275,35.5264633723235,129.334241531236,13,야음장생포동,POINT (129.334241531236 35.5264633723235)
175,175,634080.5313408053,35.5221211809817,129.332292608079,14,야음장생포동,POINT (129.332292608079 35.5221211809817)
176,176,647335.4231974921,35.5204022140277,129.33884253709,7,야음장생포동,POINT (129.33884253709 35.5204022140277)
177,177,673469.387755102,35.5230724963685,129.333168979822,7,야음장생포동,POINT (129.333168979822 35.5230724963685)
178,178,673837.784371909,35.5160067174639,129.340693651583,8,야음장생포동,POINT (129.340693651583 35.5160067174639)
179,179,684422.9217110573,35.522104174646,129.334239439677,7,야음장생포동,POINT (129.334239439677 35.522104174646)
180,180,720046.0829493088,35.5224874893081,129.334223200017,8,야음장생포동,POINT (129.334223200017 35.5224874893081)
181,181,738458.211698562,35.5232168235432,129.330851465561,7,야음장생포동,POINT (129.330851465561 35.5232168235432)
182,182,738484.9638370764,35.523614368947,129.331379082092,7,야음장생포동,POINT (129.331379082092 35.523614368947)
183,183,739750.0731391315,35.5238467770651,129.331645959536,8,야음장생포동,POINT (129.331645959536 35.5238467770651)
184,184,771071.5235309758,35.5173854522389,129.341632322048,13,야음장생포동,POINT (129.341632322048 35.5173854522389)
185,185,775681.3417190777,35.5229951358058,129.333269672054,3,야음장생포동,POINT (129.333269672054 35.5229951358058)
186,186,783560.0236546424,35.52239837093,129.333911016746,13,야음장생포동,POINT (129.333911016746 35.52239837093)
187,187,801790.8017908019,35.5235075660166,129.331537268995,19,야음장생포동,POINT (129.331537268995 35.5235075660166)
188,188,815433.5719968178,35.5228975072779,129.333121505674,21,야음장생포동,POINT (129.333121505674 35.5228975072779)
189,189,817182.5282036448,35.5229991578413,129.333048863503,5,야음장생포동,POINT (129.333048863503 35.5229991578413)
190,190,818181.8181818181,35.5188889522544,129.34015807538,14,야음장생포동,POINT (129.34015807538 35.5188889522544)
191,191,835631.549917264,35.5223218458418,129.333997551412,13,야음장생포동,POINT (129.333997551412 35.5223218458418)
192,192,844079.7186400938,35.5233126242566,129.334057397835,10,야음장생포동,POINT (129.334057397835 35.5233126242566)
193,193,844319.3600948006,35.5174288560295,129.341540079136,7,야음장생포동,POINT (129.341540079136 35.5174288560295)
195,195,876265.0,35.5249459483884,129.335295506137,13,야음장생포동,POINT (129.335295506137 35.5249459483884)
196,196,886024.052478134,35.5317022728416,129.341499305143,8,야음장생포동,POINT (129.341499305143 35.5317022728416)
197,197,892375.378740713,35.5328239662778,129.344054578197,13,야음장생포동,POINT (129.344054578197 35.5328239662778)
198,198,896025.5500354861,35.523779213382,129.331516002156,5,야음장생포동,POINT (129.331516002156 35.523779213382)
199,199,902961.2756264235,35.5232766328863,129.333604046342,7,야음장생포동,POINT (129.333604046342 35.5232766328863)
200,200,907838.0706287684,35.5221574534562,129.333675241611,9,야음장생포동,POINT (129.333675241611 35.5221574534562)
201,201,914862.5031208759,35.5266640082472,129.333587542317,7,야음장생포동,POINT (129.333587542317 35.5266640082472)
203,203,926184.4922274969,35.5250167891888,129.334742702978,13,야음장생포동,POINT (129.334742702978 35.5250167891888)
204,204,930890.2374359276,35.5241158318883,129.335299476734,7,야음장생포동,POINT (129.335299476734 35.5241158318883)
205,205,935263.958532875,35.5237672719664,129.333586017394,12,야음장생포동,POINT (129.333586017394 35.5237672719664)
206,206,937202.6641294006,35.5324023508684,129.341576347053,10,야음장생포동,POINT (129.341576347053 35.5324023508684)
207,207,937549.3447023528,35.523732641238,129.333325727405,7,야음장생포동,POINT (129.333325727405 35.523732641238)
208,208,938030.0065231572,35.5223170586615,129.332379290242,5,야음장생포동,POINT (129.332379290242 35.5223170586615)
209,209,941048.3745528077,35.5226802650907,129.333997159328,19,야음장생포동,POINT (129.333997159328 35.5226802650907)
210,210,945317.0447934844,35.5226040406342,129.335034640441,24,야음장생포동,POINT (129.335034640441 35.5226040406342)
211,211,954571.8969802741,35.530861444791,129.341490940053,8,야음장생포동,POINT (129.341490940053 35.530861444791)
212,212,955179.08017908,35.5323993391067,129.342180565731,7,야음장생포동,POINT (129.342180565731 35.5323993391067)
213,213,969352.5566819843,35.5322711875604,129.341617657384,8,야음장생포동,POINT (129.341617657384 35.5322711875604)
214,214,976845.1519536905,35.5327442153041,129.340900942131,9,삼산동,POINT (129.340900942131 35.5327442153041)
215,215,979571.3328868052,35.5231063682938,129.330586724687,9,야음장생포동,POINT (129.330586724687 35.5231063682938)
216,216,986908.3585095672,35.5237695066042,129.331769248093,8,야음장생포동,POINT (129.331769248093 35.5237695066042)
217,217,991605.1608541326,35.5236929401921,129.333619151752,9,야음장생포동,POINT (129.333619151752 35.5236929401921)
218,218,992109.5381759108,35.5230994349315,129.330720571883,7,야음장생포동,POINT (129.330720571883 35.5230994349315)
219,219,995600.8335262792,35.5231607742423,129.333596382469,13,야음장생포동,POINT (129.333596382469 35.5231607742423)
220,220,1014691.478942214,35.5223770200634,129.333227181595,15,야음장생포동,POINT (129.333227181595 35.5223770200634)
221,221,1015350.877192982,35.5222372017542,129.333893212172,10,야음장생포동,POINT (129.333893212172 35.5222372017542)
222,222,1018775.336035844,35.524135386194,129.334613368058,7,야음장생포동,POINT (129.334613368058 35.524135386194)
223,223,1029628.073124606,35.5241543709873,129.334782995751,13,야음장생포동,POINT (129.334782995751 35.5241543709873)
224,224,1049021.585636473,35.5222404910493,129.334085595241,13,야음장생포동,POINT (129.334085595241 35.5222404910493)
225,225,1049886.318041995,35.5152136324964,129.340067261142,8,야음장생포동,POINT (129.340067261142 35.5152136324964)
226,226,1057041.122669832,35.5240776467692,129.331029823117,8,야음장생포동,POINT (129.331029823117 35.5240776467692)
227,227,1058684.641456263,35.5243440212809,129.333385387018,8,야음장생포동,POINT (129.333385387018 35.5243440212809)
228,228,1061400.802221536,35.5242359024556,129.335234426782,13,야음장생포동,POINT (129.335234426782 35.5242359024556)
229,229,1085584.448371623,35.5232381872485,129.33349117343,7,야음장생포동,POINT (129.33349117343 35.5232381872485)
230,230,1117914.280071104,35.5238899316938,129.330978561284,6,야음장생포동,POINT (129.330978561284 35.5238899316938)
231,231,1121328.0,35.5231670636211,129.333789386969,13,야음장생포동,POINT (129.333789386969 35.5231670636211)
232,232,1150834.184542049,35.5325821838797,129.34176800289,24,야음장생포동,POINT (129.34176800289 35.5325821838797)
233,233,1163467.0,35.5231550609335,129.331302418437,23,야음장생포동,POINT (129.331302418437 35.5231550609335)
234,234,1175799.086757991,35.5224002511063,129.334308753165,7,야음장생포동,POINT (129.334308753165 35.5224002511063)
235,235,1179342.723004695,35.5170543763815,129.341485714969,7,야음장생포동,POINT (129.341485714969 35.5170543763815)
236,236,1194141.244519078,35.5232611321135,129.33304723895,1,야음장생포동,POINT (129.33304723895 35.5232611321135)
237,237,1236681.887366819,35.5173106586729,129.341207279156,9,야음장생포동,POINT (129.341207279156 35.5173106586729)
238,238,1247863.247863248,35.5231295564613,129.333443762727,15,야음장생포동,POINT (129.333443762727 35.5231295564613)
239,239,1320655.044902271,35.5249337101851,129.335441548586,7,야음장생포동,POINT (129.335441548586 35.5249337101851)
240,240,1336125.956955077,35.5305764054415,129.341327090685,9,야음장생포동,POINT (129.341327090685 35.5305764054415)
241,241,1361697.153877622,35.5185996299246,129.340595166958,13,야음장생포동,POINT (129.340595166958 35.5185996299246)
242,242,1387604.070305273,35.520091274342,129.33928235236,8,야음장생포동,POINT (129.33928235236 35.520091274342)
243,243,1392134.276781307,35.5133241305561,129.341725873762,8,야음장생포동,POINT (129.341725873762 35.5133241305561)
244,244,1459093.0,35.5225376570912,129.330603701506,21,야음장생포동,POINT (129.330603701506 35.5225376570912)
245,245,1480003.0,35.5264866526774,129.333836659334,13,야음장생포동,POINT (129.333836659334 35.5264866526774)
246,246,1484505.164945018,35.5312854723141,129.34151275784,8,야음장생포동,POINT (129.34151275784 35.5312854723141)
247,247,1499578.0,35.5229369399817,129.334211146962,5,야음장생포동,POINT (129.334211146962 35.5229369399817)
248,248,1500356.0,35.5222725654397,129.330546477366,1,야음장생포동,POINT (129.330546477366 35.5222725654397)
249,249,1526717.557251908,35.5230811503663,129.334198187386,22,야음장생포동,POINT (129.334198187386 35.5230811503663)
250,250,858607.4327210594,35.5339355186868,129.289714934619,15,옥동,POINT (129.289714934619 35.5339355186868)
251,251,886255.9241706161,35.5341189875986,129.289626724613,7,옥동,POINT (129.289626724613 35.5341189875986)
252,252,911993.8689487801,35.5341165245873,129.296448497155,13,옥동,POINT (129.296448497155 35.5341165245873)
253,253,930775.5411118823,35.5352999906475,129.296214363954,13,옥동,POINT (129.296214363954 35.5352999906475)
254,254,944172.0220509855,35.5356586802383,129.296296370252,15,옥동,POINT (129.296296370252 35.5356586802383)
256,256,1016666.666666667,35.5338411455338,129.29657972673,7,옥동,POINT (129.29657972673 35.5338411455338)
257,257,1087284.808215041,35.5331335464128,129.290771809652,7,옥동,POINT (129.290771809652 35.5331335464128)
258,258,1111111.111111111,35.5366904312925,129.296829027037,1,신정2동,POINT (129.296829027037 35.5366904312925)
259,259,1131262.025226252,35.5367043089283,129.29661745675,14,신정2동,POINT (129.29661745675 35.5367043089283)
260,260,1145594.667777546,35.5343402368002,129.296320457871,13,옥동,POINT (129.296320457871 35.5343402368002)
261,261,1170548.987475126,35.5367405189034,129.296364723527,12,옥동,POINT (129.296364723527 35.5367405189034)
262,262,1174114.863019932,35.5341437515276,129.295987891128,8,옥동,POINT (129.295987891128 35.5341437515276)
